modelo,n_horas_sub,n_horas_super,pct_erro_abs_subprevisao,pct_erro_abs_superprevisao
naive semanal,11168,10912,49.76572200750791,50.23427799249208
SARIMA,12656,9424,51.81085320601802,48.18914679398198
Prophet,11054,11026,49.53316316287136,50.46683683712864
Chronos-2,11669,10411,51.831872587371144,48.16812741262888
